pair_id,source_a,title_a,source_b,title_b,jaccard,band,same_topic
0,projectclue,design and implementation of a computerised human resource system,researchwap,design and implementation of a computerised market information system,0.5,0.5,0
1,projectclue,effect of child abuse on the academic performance of secondary school students in nigeria,researchwap,effects of truancy on academic performance of secondary school students,0.6,0.6,0
2,researchwap,bacterial contaminants associated with poultry feeds from three different companies,eduprojecttopics,bacterial contaminants associated with commercial poultry feed from three different companies,0.889,0.8,1
3,projectclue,problems of management of small scale industry,researchwap,financial problems facing small scale industries a case study of global soap and detergent industry asa dam road ilorin,0.571,0.5,1
4,projectclue,effective marketing strategy for airlines operating,eduprojecttopics,effective marketing strategies for airlines operating in enugu metropolis,0.714,0.7,1
5,projectclue,time series analysis on the total number of patients treated for malaria fever between 2001 and 2010 a case study of comprehensive health centre otan ayegbaju osun state,eduprojecttopics,time series analysis on the total number of patients treated for malaria fever,0.9,0.9,1
6,projectclue,factors militating against effective management of the public,researchwap,factors militating against effective management of an organisation,0.714,0.7,1
7,projectclue,the impact of poor revenue generation on the development of local government areas a case study of uhumwonde local government edo state,eduprojecttopics,revenue generation and utilization and its impact on local government development in nigeria,0.6,0.6,1
8,projectclue,problems and possible solutions of teaching learning computer science in junior secondary schools,researchwap,problems and possible solutions of teachinglearning computer science in junior secondary schools,0.727,0.7,1
9,projectclue,people s perception on the impact of social media in managing brand reputation in crisis,eduprojecttopics,peoples perception on the impact of social media in managing brand reputation in crisis,0.9,0.9,1
10,projectclue,comparative analysis of microbial load of the enugu main water production and water available to imt campus ii hostel,eduprojecttopics,comparative analysis of microbial load of the enugu main water production and water available to imt campus 2 hostel,0.923,0.9,1
11,projectclue,credit management in the banking industry,researchwap,effectiveness of credit management in the banking industry,0.8,0.8,1
12,projectclue,training and development of human resources a critical factor in banking operations,eduprojecttopics,training and development of human resource,0.5,0.5,1
13,projectclue,a comparative study on the performance of government owned and private owned broadcasting media organizations a study of splash fm and bcos,eduprojecttopics,analysis comparative of the performance of journalists in government and private owned media organizations,0.7,0.7,1
14,projectclue,assessing the determinance of induced abortion among undergraduate students a study of university of calabar cross river state nigeria,eduprojecttopics,the determinance of induced abortion among undergraduates students in nigeria,0.714,0.7,1
15,researchwap,effects of school based violence on the academic performance of students,eduprojecttopics,the effect of career choice on the academic performance of secondary school students,0.556,0.5,1
16,projectclue,problems and prospects of lending to small scale agricultural producers in bank of agriculture of nigeria,eduprojecttopics,problems and prospects of lending to small scale agricultural producers in bank of agriculture,0.9,0.9,1
17,projectclue,comparative analysis of antimicrobial strength of three most common antibiotics used in enugu case study of antibiotics drugs brought in obiagu,eduprojecttopics,comparative analysis of antimicrobial strength of three most commonly used antibiotics,0.727,0.7,1
